model_family,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__subsample
logistic_regression,0.0068603515625,0.005300225664921938,0.008022499084472657,0.001989593693829532,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.875,0.75,0.723404255319149,0.8723404255319149,0.8085106382978723,0.8058510638297871,0.06184868873935588,5,0.8333333333333334,0.7272727272727273,0.6956521739130435,0.9,0.9285714285714286,0.8169659326181066,0.09206544847598286,3,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.6190476190476191,0.7601731601731602,0.097593847833502,5,0.8695652173913043,0.7272727272727273,0.7111111111111111,0.8571428571428571,0.7428571428571429,0.7815898111550286,0.06762506519820614,5,0.9335664335664337,0.8653846153846154,0.7709090909090909,0.9563636363636364,0.8351648351648352,0.8722777222777223,0.0671226158863582,1,,,,,
logistic_regression,0.00420231819152832,0.00043991303013357424,0.007198333740234375,0.00039995687006792003,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.875,0.75,0.723404255319149,0.8723404255319149,0.8085106382978723,0.8058510638297871,0.06184868873935588,5,0.8333333333333334,0.7272727272727273,0.6956521739130435,0.9,0.9285714285714286,0.8169659326181066,0.09206544847598286,3,0.9090909090909091,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.6190476190476191,0.7601731601731602,0.097593847833502,5,0.8695652173913043,0.7272727272727273,0.7111111111111111,0.8571428571428571,0.7428571428571429,0.7815898111550286,0.06762506519820614,5,0.9335664335664337,0.8653846153846154,0.7709090909090909,0.9563636363636364,0.8351648351648352,0.8722777222777223,0.0671226158863582,1,,,,,
logistic_regression,0.004883956909179687,0.0004885649741533947,0.0074255943298339845,0.0004825900279065332,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.8958333333333334,0.7916666666666666,0.6808510638297872,0.8936170212765957,0.8297872340425532,0.8183510638297872,0.07926860599114817,1,0.8695652173913043,0.7727272727272727,0.64,0.9473684210526315,0.9333333333333333,0.8325988489009084,0.11433715553274376,1,0.9090909090909091,0.7727272727272727,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7787878787878788,0.0822100604015184,1,0.8888888888888888,0.7727272727272727,0.6808510638297872,0.8780487804878049,0.7777777777777778,0.7996587567423062,0.07671552942215806,1,0.9178321678321678,0.8601398601398601,0.7581818181818182,0.9545454545454545,0.8278388278388279,0.8637076257076257,0.06872550163343298,5,,,,,
logistic_regression,0.0048159599304199215,0.0004157472769132991,0.007797622680664062,0.0007546889154524159,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.8958333333333334,0.7916666666666666,0.6808510638297872,0.8936170212765957,0.8297872340425532,0.8183510638297872,0.07926860599114817,1,0.8695652173913043,0.7727272727272727,0.64,0.9473684210526315,0.9333333333333333,0.8325988489009084,0.11433715553274376,1,0.9090909090909091,0.7727272727272727,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7787878787878788,0.0822100604015184,1,0.8888888888888888,0.7727272727272727,0.6808510638297872,0.8780487804878049,0.7777777777777778,0.7996587567423062,0.07671552942215806,1,0.9178321678321678,0.8601398601398601,0.7581818181818182,0.9545454545454545,0.8278388278388279,0.8637076257076257,0.06872550163343298,5,,,,,
logistic_regression,0.0046175956726074215,0.00046589371064968146,0.007389497756958008,0.0005045076487298557,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.8958333333333334,0.7916666666666666,0.6808510638297872,0.8723404255319149,0.8085106382978723,0.8098404255319149,0.0751948661410413,3,0.8695652173913043,0.7727272727272727,0.64,0.9,0.875,0.8114584980237154,0.09607459106214769,5,0.9090909090909091,0.7727272727272727,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7787878787878788,0.0822100604015184,1,0.8888888888888888,0.7727272727272727,0.6808510638297872,0.8571428571428571,0.7567567567567568,0.7912733678691126,0.07429134388095468,3,0.9195804195804196,0.8636363636363636,0.76,0.9545454545454546,0.8296703296703297,0.8654865134865135,0.06822209651454482,3,,,,,
logistic_regression,0.005244588851928711,0.0007642797766705854,0.0071318626403808595,0.0004550474114472292,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.8958333333333334,0.7916666666666666,0.6808510638297872,0.8723404255319149,0.8085106382978723,0.8098404255319149,0.0751948661410413,3,0.8695652173913043,0.7727272727272727,0.64,0.9,0.875,0.8114584980237154,0.09607459106214769,5,0.9090909090909091,0.7727272727272727,0.7272727272727273,0.8181818181818182,0.6666666666666666,0.7787878787878788,0.0822100604015184,1,0.8888888888888888,0.7727272727272727,0.6808510638297872,0.8571428571428571,0.7567567567567568,0.7912733678691126,0.07429134388095468,3,0.9195804195804196,0.8636363636363636,0.76,0.9545454545454546,0.8296703296703297,0.8654865134865135,0.06822209651454482,3,,,,,
random_forest,0.18410787582397461,0.017417862570467485,0.027730846405029298,0.001912640577205111,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8333333333333334,0.8125,0.7021276595744681,0.9361702127659575,0.7872340425531915,0.8142730496453903,0.07554211132188896,9,0.7692307692307693,0.8823529411764706,0.6666666666666666,0.9523809523809523,0.9230769230769231,0.8387416505063564,0.10617893998637279,6,0.9090909090909091,0.6818181818181818,0.7272727272727273,0.9090909090909091,0.5714285714285714,0.7597402597402597,0.13205946824816792,11,0.8333333333333334,0.7692307692307693,0.6956521739130435,0.9302325581395349,0.7058823529411765,0.7868662375115715,0.08706606409418005,10,0.9466783216783217,0.8837412587412588,0.7754545454545455,0.9700000000000001,0.8736263736263736,0.8899000999001,0.06788270897351296,6,,1.0,200.0,,
random_forest,0.35726232528686525,0.005725861227885598,0.04576320648193359,0.0017418585270453546,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.8333333333333334,0.8333333333333334,0.7021276595744681,0.9361702127659575,0.7872340425531915,0.8184397163120568,0.0759030935713527,8,0.7692307692307693,0.9375,0.6666666666666666,0.9523809523809523,0.9230769230769231,0.8497710622710622,0.1127943826478669,3,0.9090909090909091,0.6818181818181818,0.7272727272727273,0.9090909090909091,0.5714285714285714,0.7597402597402597,0.13205946824816792,11,0.8333333333333334,0.7894736842105263,0.6956521739130435,0.9302325581395349,0.7058823529411765,0.7909148205075229,0.08662139631717851,8,0.9458041958041958,0.8854895104895104,0.7745454545454545,0.9672727272727273,0.8608058608058609,0.8867835497835497,0.06817015363716077,11,,1.0,400.0,,
random_forest,0.1765592575073242,0.006696614639319045,0.02681393623352051,0.0014465266154763958,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.8333333333333334,0.8125,0.6808510638297872,0.9574468085106383,0.8085106382978723,0.8185283687943263,0.08787406480314265,4,0.7692307692307693,0.9333333333333333,0.64,0.9545454545454546,0.9285714285714286,0.8451361971361973,0.12210901002455046,4,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.9545454545454546,0.6190476190476191,0.7692640692640692,0.1384713086893725,6,0.8333333333333334,0.7567567567567568,0.6808510638297872,0.9545454545454546,0.7428571428571429,0.793668750264495,0.0939433214388786,6,0.9458041958041958,0.881118881118881,0.7854545454545455,0.9654545454545456,0.8589743589743589,0.8873613053613052,0.06441102373332058,8,,3.0,200.0,,
random_forest,0.4090596675872803,0.0777573238216377,0.0540924072265625,0.007829340889955523,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.8541666666666666,0.8125,0.6808510638297872,0.9574468085106383,0.8085106382978723,0.822695035460993,0.08896443342124472,1,0.8,0.9333333333333333,0.64,0.9545454545454546,0.9285714285714286,0.8512900432900434,0.11886071246620081,1,0.9090909090909091,0.6363636363636364,0.7272727272727273,0.9545454545454546,0.6190476190476191,0.7692640692640692,0.1384713086893725,6,0.851063829787234,0.7567567567567568,0.6808510638297872,0.9545454545454546,0.7428571428571429,0.7972148495552751,0.09569198515794176,1,0.951048951048951,0.8811188811188811,0.7872727272727273,0.9672727272727273,0.8681318681318682,0.890969030969031,0.06450323360144643,3,,3.0,400.0,,
