Disease,Model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__subsample
Diabetes,Logistic Regression,0.010292530059814453,0.0010442553152847866,0.004599523544311523,0.0004891623104780772,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.8656976744186047,0.8369186046511627,0.8546511627906977,0.844767441860465,0.8193452380952381,0.8442760243632337,0.015763551683554387,1,,,,,
Diabetes,Logistic Regression,0.010008096694946289,1.3012500762827064e-05,0.005423545837402344,0.0019005194954747717,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.8656976744186047,0.8369186046511627,0.8546511627906977,0.844767441860465,0.8193452380952381,0.8442760243632337,0.015763551683554387,1,,,,,
Diabetes,Logistic Regression,0.009809637069702148,0.00042690526936665566,0.004811668395996093,0.0007503817841159388,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.8674418604651163,0.8334302325581395,0.8508720930232558,0.8470930232558139,0.8119047619047619,0.8421483942414175,0.018606425504036104,3,,,,,
Diabetes,Logistic Regression,0.0099884033203125,0.001115962220334667,0.0043947696685791016,0.00047731101809705896,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.8674418604651163,0.8334302325581395,0.8508720930232558,0.8470930232558139,0.8119047619047619,0.8421483942414175,0.018606425504036104,3,,,,,
Diabetes,Logistic Regression,0.009318256378173828,0.0003903667403672959,0.0047833919525146484,0.0007180156706268992,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.8671511627906976,0.8290697674418605,0.851453488372093,0.848546511627907,0.8050595238095237,0.8402560908084163,0.021360664060202136,5,,,,,
Diabetes,Logistic Regression,0.009905719757080078,0.00019070580976461108,0.004600143432617188,0.0004899599278540738,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.8671511627906976,0.8290697674418605,0.851453488372093,0.848546511627907,0.8050595238095237,0.8402560908084163,0.021360664060202136,5,,,,,
Diabetes,Random Forest,0.11349697113037109,0.005785057176020187,0.011417150497436523,0.0018414170508605381,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.8665697674418604,0.8165697674418604,0.8610465116279069,0.8008720930232558,0.8264880952380953,0.8343092469545959,0.025493235631842873,18,3.0,1.0,100.0,,
Diabetes,Random Forest,0.2226099491119385,0.024052809775532615,0.015609169006347656,0.00163802290077363,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8718023255813954,0.8171511627906978,0.8633720930232558,0.8093023255813954,0.8288690476190477,0.8380993909191584,0.025011580308796102,7,3.0,1.0,200.0,,
Diabetes,Random Forest,0.2991119384765625,0.010121436186966388,0.01880335807800293,0.0010187326420623838,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.8697674418604651,0.8180232558139535,0.8613372093023256,0.8101744186046512,0.8273809523809523,0.8373366555924695,0.023823068786212636,9,3.0,1.0,300.0,,
Diabetes,Random Forest,0.10572605133056641,0.003984842626442409,0.009915924072265625,0.0006617950167909885,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",0.8674418604651163,0.8171511627906977,0.8624999999999999,0.8040697674418605,0.824404761904762,0.8351135105204873,0.025283113864262505,17,3.0,3.0,100.0,,
Diabetes,Random Forest,0.22801661491394043,0.022410662709114366,0.015782976150512697,0.000932307356008808,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.8706395348837209,0.8162790697674419,0.8630813953488372,0.8084302325581396,0.8267857142857142,0.8370431893687706,0.02514664334643945,13,3.0,3.0,200.0,,
Diabetes,Random Forest,0.30196366310119627,0.0018122008755184643,0.018712759017944336,0.001168618465564607,,,"{'model__max_depth': 3, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",0.8700581395348838,0.8168604651162791,0.8613372093023255,0.8107558139534884,0.8264880952380953,0.8370999446290144,0.02404141722024132,12,3.0,3.0,300.0,,
Diabetes,Random Forest,0.11781749725341797,0.004186302252045234,0.010194540023803711,0.0011603034370021308,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.8767441860465117,0.8206395348837209,0.8584302325581395,0.8069767441860465,0.8419642857142857,0.840950996677741,0.025117755311341916,4,5.0,1.0,100.0,,
Diabetes,Random Forest,0.2395155429840088,0.006400458999568968,0.014758157730102538,0.0007775744720954404,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8761627906976744,0.8197674418604651,0.8625,0.8066860465116279,0.8410714285714286,0.8412375415282393,0.02579404485904442,3,5.0,1.0,200.0,,
Diabetes,Random Forest,0.34400668144226076,0.0125443342109219,0.019412517547607422,0.0010223361760787275,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.875,0.8191860465116279,0.8613372093023256,0.8104651162790698,0.8407738095238095,0.8413524363233666,0.024401884673818,2,5.0,1.0,300.0,,
Diabetes,Random Forest,0.1190798282623291,0.005007558327738467,0.009990787506103516,0.0006357493638106592,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",0.8723837209302325,0.8270348837209303,0.8584302325581395,0.8098837209302326,0.8354166666666667,0.8406298449612404,0.022282220623809645,6,5.0,3.0,100.0,,
Diabetes,Random Forest,0.23044538497924805,0.007054359227559265,0.01488962173461914,0.0010798070950986621,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.876453488372093,0.8215116279069767,0.8604651162790697,0.8151162790697674,0.8342261904761904,0.8415545404208193,0.023366433898271137,1,5.0,3.0,200.0,,
Diabetes,Random Forest,0.3411420822143555,0.012077731763453708,0.01971297264099121,0.0008692325936798158,,,"{'model__max_depth': 5, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",0.8744186046511628,0.8209302325581396,0.8593023255813953,0.813953488372093,0.8360119047619047,0.840923311184939,0.0228514301660072,5,5.0,3.0,300.0,,
Diabetes,Random Forest,0.1281360149383545,0.002109807046182227,0.009978866577148438,0.0006069514931193297,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__n_estimators': 100}",0.8715116279069767,0.8238372093023256,0.8662790697674418,0.7886627906976744,0.8258928571428571,0.8352367109634551,0.030547942420532798,16,7.0,1.0,100.0,,
Diabetes,Random Forest,0.24954533576965332,0.0041479223327012,0.01461944580078125,0.0007867438509722065,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.8741279069767443,0.8223837209302325,0.8642441860465117,0.7944767441860464,0.8312499999999999,0.8372965116279071,0.028897103498266248,10,7.0,1.0,200.0,,
Diabetes,Random Forest,0.37515435218811033,0.021434961853771473,0.0206817626953125,0.0014976570634006893,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",0.8755813953488372,0.8232558139534883,0.8575581395348837,0.7988372093023255,0.8303571428571429,0.8371179401993356,0.026834755127192685,11,7.0,1.0,300.0,,
Diabetes,Random Forest,0.1243581771850586,0.004272174578142826,0.009978723526000977,0.000633822282310308,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 3, 'model__n_estimators': 100}",0.873546511627907,0.8180232558139534,0.8555232558139534,0.8075581395348836,0.8288690476190476,0.8367040420819489,0.024377747709101276,14,7.0,3.0,100.0,,
Diabetes,Random Forest,0.24028844833374025,0.007528544805537307,0.014180135726928712,0.00036660136952197295,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.8741279069767443,0.8183139534883721,0.8566860465116279,0.8090116279069769,0.8247023809523809,0.8365683831672204,0.024693477597020067,15,7.0,3.0,200.0,,
Diabetes,Random Forest,0.37620110511779786,0.0074665007118964325,0.020795345306396484,0.0009820716590183346,,,"{'model__max_depth': 7, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",0.8755813953488373,0.8197674418604651,0.8555232558139534,0.8095930232558138,0.8279761904761904,0.8376882613510521,0.024326114063641515,8,7.0,3.0,300.0,,
Diabetes,XGBoost,0.04503111839294434,0.008318120939685258,0.008287525177001953,0.0018988492098020173,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.8703488372093022,0.8164244186046512,0.8511627906976744,0.8088662790697675,0.8319940476190476,0.8357592746400885,0.022560819793802825,5,3.0,,100.0,0.01,0.8
Diabetes,XGBoost,0.036417913436889646,0.0017813639988193068,0.007006359100341797,0.0012624330484431875,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.865843023255814,0.8239825581395348,0.8565406976744186,0.8183139534883721,0.8424107142857142,0.8414181893687708,0.018243107331558435,1,3.0,,100.0,0.01,1.0
Diabetes,XGBoost,0.06505064964294434,0.00273216527108246,0.0065536022186279295,0.0004745182730435058,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8747093023255814,0.8162790697674418,0.8523255813953489,0.8171511627906977,0.8401785714285714,0.8401287375415283,0.02209686194263422,2,3.0,,200.0,0.01,0.8
Diabetes,XGBoost,0.06373491287231445,0.007815687368257988,0.006772470474243164,0.0007611011083052252,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8665697674418605,0.8209302325581396,0.8438953488372093,0.8235465116279069,0.8388392857142857,0.8387562292358804,0.016426271783091927,4,3.0,,200.0,0.01,1.0
Diabetes,XGBoost,0.09538731575012208,0.007397623016589117,0.006406021118164062,0.0004900770394403918,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8729651162790698,0.8159883720930232,0.8488372093023255,0.8154069767441859,0.8428571428571429,0.8392109634551496,0.021685112861640328,3,3.0,,300.0,0.01,0.8
Diabetes,XGBoost,0.08554348945617676,0.003945950070001114,0.005820035934448242,0.00041066914747853547,,,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.8665697674418604,0.8145348837209302,0.8377906976744186,0.8209302325581396,0.8379464285714286,0.8355544019933555,0.01804639677887189,6,3.0,,300.0,0.01,1.0
Diabetes,XGBoost,0.0654557228088379,0.0037904329466389667,0.006731176376342773,0.0011998977043927426,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 0.8}",0.852906976744186,0.8026162790697674,0.8517441860465116,0.8040697674418604,0.8241071428571429,0.8270888704318937,0.021964228788567363,10,5.0,,100.0,0.01,0.8
Diabetes,XGBoost,0.0807765007019043,0.009522004921613342,0.007509469985961914,0.0018313867608094967,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.8539244186046513,0.808139534883721,0.8482558139534884,0.8127906976744186,0.7901785714285714,0.8226578073089701,0.024478152610916556,14,5.0,,100.0,0.01,1.0
Diabetes,XGBoost,0.1548304557800293,0.008087608471348791,0.009109687805175782,0.0011617115427104863,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8587209302325581,0.8090116279069768,0.8508720930232558,0.8008720930232558,0.8181547619047619,0.8275263012181618,0.023061641597130568,9,5.0,,200.0,0.01,0.8
Diabetes,XGBoost,0.18642940521240234,0.011788859845490737,0.011225414276123048,0.003661400682948085,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",0.8630813953488372,0.8101744186046512,0.8491279069767441,0.8095930232558141,0.7907738095238095,0.8245501107419713,0.027055282203994405,13,5.0,,200.0,0.01,1.0
Diabetes,XGBoost,0.17973065376281738,0.012783840215563783,0.006401634216308594,0.0010254269237635761,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 0.8}",0.8593023255813953,0.8090116279069768,0.8485465116279071,0.797093023255814,0.8101190476190476,0.8248145071982282,0.024440891347032895,12,5.0,,300.0,0.01,0.8
Diabetes,XGBoost,0.16346774101257325,0.00639238696912138,0.005794239044189453,0.00040025701970464525,,,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.8645348837209303,0.8159883720930232,0.8392441860465116,0.8061046511627907,0.7982142857142858,0.8248172757475084,0.024172112283383184,11,5.0,,300.0,0.01,1.0
