model_family,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__subsample
logistic_regression,0.1489332675933838,0.2796102180461781,0.008786869049072266,0.0015121498755030906,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.978021978021978,0.978021978021978,0.989010989010989,0.978021978021978,0.978021978021978,0.9802197802197803,0.004395604395604425,1,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9705882352941176,0.9771241830065358,0.02097621769396238,1,0.9705882352941176,1.0,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.9705882352941178,0.018601633295108118,1,0.9705882352941176,0.9714285714285714,0.9850746268656716,0.9696969696969697,0.9705882352941176,0.9734753277158896,0.005825453573562358,1,0.9963880288957687,0.9984520123839009,0.9989680082559339,0.9845201238390093,0.9958720330237358,0.9948400412796697,0.005292417504626628,3,,,,,
logistic_regression,0.010519123077392578,0.0013677014286078096,0.008454275131225587,0.001420998456296063,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.978021978021978,0.978021978021978,0.989010989010989,0.978021978021978,0.978021978021978,0.9802197802197803,0.004395604395604425,1,0.9705882352941176,0.9444444444444444,1.0,1.0,0.9705882352941176,0.9771241830065358,0.02097621769396238,1,0.9705882352941176,1.0,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.9705882352941178,0.018601633295108118,1,0.9705882352941176,0.9714285714285714,0.9850746268656716,0.9696969696969697,0.9705882352941176,0.9734753277158896,0.005825453573562358,1,0.9963880288957687,0.9984520123839009,0.9989680082559339,0.9845201238390093,0.9958720330237358,0.9948400412796697,0.005292417504626628,3,,,,,
logistic_regression,0.009841108322143554,0.0010175720329237304,0.008505105972290039,0.0010140050306266047,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.945054945054945,0.967032967032967,1.0,0.978021978021978,0.967032967032967,0.9714285714285713,0.01785502946073838,3,0.9393939393939394,0.9428571428571428,1.0,1.0,0.9428571428571428,0.9650216450216451,0.02858769050526606,3,0.9117647058823529,0.9705882352941176,1.0,0.9411764705882353,0.9705882352941176,0.9588235294117646,0.029994232432898744,3,0.9253731343283582,0.9565217391304348,1.0,0.9696969696969697,0.9565217391304348,0.9616227164572395,0.02410013112576938,3,0.9943240454076367,0.9989680082559339,1.0,0.9871001031991744,0.9974200206398348,0.9955624355005159,0.004645109364262897,1,,,,,
logistic_regression,0.009973430633544922,0.0010653890641352923,0.008220529556274414,0.0009795717700132828,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.945054945054945,0.967032967032967,1.0,0.978021978021978,0.967032967032967,0.9714285714285713,0.01785502946073838,3,0.9393939393939394,0.9428571428571428,1.0,1.0,0.9428571428571428,0.9650216450216451,0.02858769050526606,3,0.9117647058823529,0.9705882352941176,1.0,0.9411764705882353,0.9705882352941176,0.9588235294117646,0.029994232432898744,3,0.9253731343283582,0.9565217391304348,1.0,0.9696969696969697,0.9565217391304348,0.9616227164572395,0.02410013112576938,3,0.9943240454076367,0.9989680082559339,1.0,0.9871001031991744,0.9974200206398348,0.9955624355005159,0.004645109364262897,1,,,,,
logistic_regression,0.011683797836303711,0.0014414280602688821,0.009867000579833984,0.001240781288945904,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.9340659340659341,0.978021978021978,0.967032967032967,0.978021978021978,0.967032967032967,0.9648351648351647,0.016150481820548408,5,0.9375,0.9705882352941176,0.9428571428571428,1.0,0.9428571428571428,0.9587605042016808,0.023657700985151367,5,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.03429971702850177,5,0.9090909090909091,0.9705882352941176,0.9565217391304348,0.9696969696969697,0.9565217391304348,0.9524839184685732,0.02253715454335731,5,0.9922600619195047,0.9963880288957689,0.9979360165118679,0.9871001031991744,0.9963880288957688,0.994014447884417,0.003937829520812998,5,,,,,
logistic_regression,0.010201215744018555,0.0006103968044739066,0.010222196578979492,0.0013226531149958373,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.9340659340659341,0.978021978021978,0.967032967032967,0.978021978021978,0.967032967032967,0.9648351648351647,0.016150481820548408,5,0.9375,0.9705882352941176,0.9428571428571428,1.0,0.9428571428571428,0.9587605042016808,0.023657700985151367,5,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.03429971702850177,5,0.9090909090909091,0.9705882352941176,0.9565217391304348,0.9696969696969697,0.9565217391304348,0.9524839184685732,0.02253715454335731,5,0.9922600619195047,0.9963880288957689,0.9979360165118679,0.9871001031991744,0.9963880288957688,0.994014447884417,0.003937829520812998,5,,,,,
random_forest,0.2847897529602051,0.009954193915070532,0.0318507194519043,0.005299730893486401,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",0.967032967032967,0.978021978021978,0.945054945054945,0.945054945054945,0.967032967032967,0.9604395604395604,0.01318681318681319,3,0.9696969696969697,0.9705882352941176,0.9393939393939394,0.9142857142857143,0.9696969696969697,0.9527323656735422,0.02258533275293479,4,0.9411764705882353,0.9705882352941176,0.9117647058823529,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.018601633295108118,5,0.9552238805970149,0.9705882352941176,0.9253731343283582,0.927536231884058,0.9552238805970149,0.9467890725401127,0.01753856553154961,4,0.9886480908152735,0.999484004127967,0.9935500515995872,0.9842621259029928,0.9829721362229102,0.9897832817337461,0.006106653641571154,2,,1.0,200.0,,
random_forest,0.48531489372253417,0.01749884477376455,0.04694905281066895,0.0024532783390370087,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",0.967032967032967,0.967032967032967,0.945054945054945,0.945054945054945,0.978021978021978,0.9604395604395604,0.01318681318681319,3,0.9696969696969697,0.9428571428571428,0.9393939393939394,0.9142857142857143,1.0,0.9532467532467532,0.029237929871456902,3,0.9411764705882353,0.9705882352941176,0.9117647058823529,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.018601633295108118,5,0.9552238805970149,0.9565217391304348,0.9253731343283582,0.927536231884058,0.9696969696969697,0.9468703911273672,0.01743515848690941,3,0.989422084623323,0.9984520123839009,0.9938080495356038,0.9832301341589268,0.9811661506707946,0.9892156862745098,0.006435277432451488,8,,1.0,400.0,,
random_forest,0.24601573944091798,0.00840969496630183,0.029095268249511717,0.001873351877241677,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 200}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.9340659340659341,0.978021978021978,0.9538461538461538,0.01758241758241757,6,0.9696969696969697,0.9166666666666666,0.9117647058823529,0.8888888888888888,0.9705882352941176,0.931521093285799,0.0329001909101369,8,0.9411764705882353,0.9705882352941176,0.9117647058823529,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.022009749333964365,1,0.9552238805970149,0.9428571428571428,0.9117647058823529,0.9142857142857143,0.9705882352941176,0.9389439357832684,0.022927930171313962,6,0.9901960784313725,0.9979360165118678,0.9901960784313725,0.9871001031991744,0.9824561403508771,0.9895768833849328,0.005049382795758521,5,,3.0,200.0,,
random_forest,0.4639276027679443,0.015444910002587185,0.04495596885681152,0.0022170183822077683,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.9340659340659341,0.978021978021978,0.9538461538461538,0.01758241758241757,6,0.9696969696969697,0.9166666666666666,0.9117647058823529,0.8888888888888888,0.9705882352941176,0.931521093285799,0.0329001909101369,8,0.9411764705882353,0.9705882352941176,0.9117647058823529,0.9411764705882353,0.9705882352941176,0.9470588235294117,0.022009749333964365,1,0.9552238805970149,0.9428571428571428,0.9117647058823529,0.9142857142857143,0.9705882352941176,0.9389439357832684,0.022927930171313962,6,0.9901960784313726,0.9979360165118679,0.9896800825593396,0.9871001031991743,0.9834881320949432,0.9896800825593395,0.004762840354680855,3,,3.0,400.0,,
